x,y,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,TOTAL_RAIN,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,TOTAL_PRECIPITATION,LOCAL_MONTH,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,ID,MIN_REL_HUMIDITY,MAX_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG
-120.80083472222222,50.11416777777778,,1,M,12.7,,,,,12,,5.3,,1996,0,0,,,1996-01-12 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.12,,9.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,3,M,14.5,,,,,13,,3.5,,1996,0,0,,,1996-01-13 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.13,,4,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,0.5,M,16.7,,,,,14,,1.3,T,1996,1.4,0,,,1996-01-14 00:00:00,,,MERRITT STP,1.4,1,,,1125079.1996.1.14,,2,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1,M,14,,,,,15,,4,,1996,0,0,,,1996-01-15 00:00:00,,,MERRITT STP,0,1,,T,1125079.1996.1.15,,9,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-6,,23.3,0,,,,16,,-5.3,,1996,0,0,,,1996-01-16 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.16,,-4.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-15,,29.8,0,,,,17,,-11.8,,1996,0,0,,,1996-01-17 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.17,,-8.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-18,,32.3,0,,,,18,,-14.3,,1996,0,0,,,1996-01-18 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.18,,-10.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-14,,29.5,0,,,,19,,-11.5,,1996,0,0,,,1996-01-19 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.19,,-9,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-17.5,,33.3,0,,,,20,,-15.3,,1996,0,5.8,,,1996-01-20 00:00:00,,,MERRITT STP,5.8,1,,,1125079.1996.1.20,,-13,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-15,,30.3,5,,,,21,,-12.3,T,1996,0,0,,,1996-01-21 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.21,,-9.5,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-24.5,,36.5,3,,,,22,,-18.5,,1996,0,4,,,1996-01-22 00:00:00,,,MERRITT STP,4,1,,,1125079.1996.1.22,,-12.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-17,,30.5,6,,,,23,,-12.5,,1996,0,4,,,1996-01-23 00:00:00,,,MERRITT STP,4,1,,,1125079.1996.1.23,,-8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-12.5,,27.3,10,,,,24,,-9.3,,1996,0,0,,,1996-01-24 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.24,,-6,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-19,,31.5,10,,,,25,,-13.5,,1996,0,2,,,1996-01-25 00:00:00,,,MERRITT STP,2,1,,,1125079.1996.1.25,,-8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-23,M,35,,,,,26,,-17,,1996,0,1,,,1996-01-26 00:00:00,,,MERRITT STP,1,1,,,1125079.1996.1.26,,-11,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-20,M,32.8,,,,,27,,-14.8,,1996,0,0.5,,,1996-01-27 00:00:00,,,MERRITT STP,0.5,1,,,1125079.1996.1.27,,-9.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-20,M,36.8,,,,,28,,-18.8,,1996,0,0,,,1996-01-28 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.28,,-17.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-33,M,46,,,,,29,,-28,,1996,0,0,,,1996-01-29 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.29,,-23,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-35,M,45.5,,,,,30,,-27.5,,1996,0,0,,,1996-01-30 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.30,,-20,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-32,M,43.5,,,,,31,,-25.5,,1996,0,0,,,1996-01-31 00:00:00,,,MERRITT STP,0,1,,,1125079.1996.1.31,,-19,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-27,,39.8,8,,,,1,,-21.8,,1996,0,0,,,1996-02-01 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.1,,-16.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-29,,40,8,,,,2,,-22,,1996,0,0,,,1996-02-02 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.2,,-15,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-24,,34.5,8,,,,3,,-16.5,,1996,0,0.5,,,1996-02-03 00:00:00,,,MERRITT STP,0.5,2,,,1125079.1996.2.3,,-9,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-14,,26.3,8,,,,4,,-8.3,,1996,0,0.5,,,1996-02-04 00:00:00,,,MERRITT STP,0.5,2,,,1125079.1996.2.4,,-2.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-10,,19.5,8,,,,5,,-1.5,T,1996,2.4,0,,,1996-02-05 00:00:00,,,MERRITT STP,2.4,2,,,1125079.1996.2.5,,7,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,3,,12.5,0,,,,6,,5.5,,1996,1.6,0,,,1996-02-06 00:00:00,,,MERRITT STP,1.6,2,,,1125079.1996.2.6,,8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,1,,13.5,0,,,,7,,4.5,,1996,0.4,0,,,1996-02-07 00:00:00,,,MERRITT STP,0.4,2,,,1125079.1996.2.7,,8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,1,,16,0,,,,8,,2,T,1996,4.2,0,,,1996-02-08 00:00:00,,,MERRITT STP,4.2,2,,,1125079.1996.2.8,,3,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1,,16,0,,,,9,,2,,1996,0,0,,,1996-02-09 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.9,,5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-9.5,,22.5,0,,,,10,,-4.5,,1996,0,0,,,1996-02-10 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.10,,0.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-9,,21.5,0,,,,11,,-3.5,,1996,0,0,,,1996-02-11 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.11,,2,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-5.5,,19.3,0,,,,12,,-1.3,,1996,0,0,,,1996-02-12 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.12,,3,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3,,17,0,,,,13,,1,,1996,0,0,,,1996-02-13 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.13,,5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-5,,17,0,,,,14,,1,,1996,0,0,,,1996-02-14 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.14,,7,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-5,,17,0,,,,15,,1,,1996,0,0,,,1996-02-15 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.15,,7,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-4,,16.5,0,,,,16,,1.5,,1996,0.4,0,,,1996-02-16 00:00:00,,,MERRITT STP,0.4,2,,,1125079.1996.2.16,,7,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1.5,,15.7,0,,,,17,,2.3,,1996,2.6,0,,,1996-02-17 00:00:00,,,MERRITT STP,2.6,2,,,1125079.1996.2.17,,6,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,3,,11,0,,,,18,,7,,1996,2.2,0,,,1996-02-18 00:00:00,,,MERRITT STP,2.2,2,,,1125079.1996.2.18,,11,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,1,,12.5,0,,,,19,,5.5,,1996,0,0,,,1996-02-19 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.19,,10,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,0.5,,12.7,0,,,,20,,5.3,,1996,5.8,1,,,1996-02-20 00:00:00,,,MERRITT STP,6.8,2,,,1125079.1996.2.20,,10,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1,,14.5,0,,,,21,,3.5,,1996,0,0,,,1996-02-21 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.21,,8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1,,16.5,0,,,,22,,1.5,T,1996,0,0,,,1996-02-22 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.22,,4,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-3,,17.5,0,,,,23,,0.5,T,1996,0,0,,,1996-02-23 00:00:00,,,MERRITT STP,0,2,,T,1125079.1996.2.23,,4,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-7,,20,0,,,,24,,-2,T,1996,0,0,,,1996-02-24 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.24,,3,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-5,,20,0,,,,25,,-2,,1996,0,0,,,1996-02-25 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.25,,1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-15,,26,0,,,,26,,-8,,1996,0,0,,,1996-02-26 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.26,,-1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-12,,24.5,0,,,,27,,-6.5,,1996,0,0,,,1996-02-27 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.27,,-1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-14,,24.5,0,,,,28,,-6.5,,1996,0,0,,,1996-02-28 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.28,,1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-13,,22.5,0,,,,29,,-4.5,,1996,0,0,,,1996-02-29 00:00:00,,,MERRITT STP,0,2,,,1125079.1996.2.29,,4,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-11,,19.5,0,,,,1,,-1.5,,1996,0,0,,,1996-03-01 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.1,,8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-10,,17.2,0,,,,2,,0.8,,1996,0,0,,,1996-03-02 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.2,,11.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-6,,21,0,,,,3,,-3,,1996,0,6,,,1996-03-03 00:00:00,,,MERRITT STP,6,3,,,1125079.1996.3.3,,0,1125079,BC,,,0,
